Index,setup,batch_size,max_epochs,learning_rate,memory_size,model,accuracy,training_time
253,hybrid,128,10,0.005,6000,bi-rnn.py,0.2792,427834.83918
254,hybrid,128,10,0.005,12000,lenet5.py,0.9165,261017.428768
255,hybrid,128,10,0.005,12000,bi-rnn.py,0.2516,443614.965762
256,hybrid,128,20,0.01,6000,lenet5.py,0.9601,504380.429925
257,hybrid,128,20,0.01,6000,bi-rnn.py,0.6991,839664.259595
258,hybrid,128,20,0.01,12000,lenet5.py,0.9628,482816.288065
259,hybrid,128,20,0.01,12000,bi-rnn.py,0.7437,826851.22667
260,hybrid,128,20,0.005,6000,lenet5.py,0.9296,481658.258445
261,hybrid,128,20,0.005,6000,bi-rnn.py,0.3889,831368.311311
262,hybrid,128,20,0.005,12000,lenet5.py,0.9402,476540.825553
263,hybrid,128,20,0.005,12000,bi-rnn.py,0.457,815472.148034
264,hybrid,256,5,0.01,6000,lenet5.py,0.8921,88224.716524
265,hybrid,256,5,0.01,6000,bi-rnn.py,0.1956,154815.141996
266,hybrid,256,5,0.01,12000,lenet5.py,0.8806,87107.247151
267,hybrid,256,5,0.01,12000,bi-rnn.py,0.1848,155878.118608
268,hybrid,256,5,0.005,6000,lenet5.py,0.8209,87149.563749
269,hybrid,256,5,0.005,6000,bi-rnn.py,0.1614,157300.604834
270,hybrid,256,5,0.005,12000,lenet5.py,0.8017,86274.6388
271,hybrid,256,5,0.005,12000,bi-rnn.py,0.1452,155523.473974
272,hybrid,256,10,0.01,6000,lenet5.py,0.9252,159744.823216
273,hybrid,256,10,0.01,6000,bi-rnn.py,0.3432,304747.476839
274,hybrid,256,10,0.01,12000,lenet5.py,0.9264,157938.914953
275,hybrid,256,10,0.01,12000,bi-rnn.py,0.2787,298853.486088
276,hybrid,256,10,0.005,6000,lenet5.py,0.8768,157592.139879
277,hybrid,256,10,0.005,6000,bi-rnn.py,0.1811,299724.573623
278,hybrid,256,10,0.005,12000,lenet5.py,0.8751,161769.38058
279,hybrid,256,10,0.005,12000,bi-rnn.py,0.1962,304932.496181
280,hybrid,256,20,0.01,6000,lenet5.py,0.9424,277666.425254
281,hybrid,256,20,0.01,6000,bi-rnn.py,0.4679,557982.265748
282,hybrid,256,20,0.01,12000,lenet5.py,0.9376,273708.634236
283,hybrid,256,20,0.01,12000,bi-rnn.py,0.4751,556334.524749
284,hybrid,256,20,0.005,6000,lenet5.py,0.9168,280398.44022
285,hybrid,256,20,0.005,6000,bi-rnn.py,0.2448,576140.3089
286,hybrid,256,20,0.005,12000,lenet5.py,0.922,278091.715393
287,hybrid,256,20,0.005,12000,bi-rnn.py,0.3072,565072.866865
288,hybrid,128,5,0.01,6000,lenet5.py,0.917,147858.072814
289,hybrid,128,5,0.01,6000,bi-rnn.py,0.3642,234670.982353
290,hybrid,128,5,0.01,12000,lenet5.py,0.922,147943.183855
291,hybrid,128,5,0.01,12000,bi-rnn.py,0.3147,230275.285883
292,hybrid,128,5,0.005,6000,lenet5.py,0.8839,148613.410216
293,hybrid,128,5,0.005,6000,bi-rnn.py,0.1852,229124.577218
294,hybrid,128,5,0.005,12000,lenet5.py,0.8845,150221.1674
295,hybrid,128,5,0.005,12000,bi-rnn.py,0.1725,247785.669026
296,hybrid,128,10,0.01,6000,lenet5.py,0.9474,268153.120525
297,hybrid,128,10,0.01,6000,bi-rnn.py,0.4979,450110.856178
298,hybrid,128,10,0.01,12000,lenet5.py,0.943,265653.385747
299,hybrid,128,10,0.01,12000,bi-rnn.py,0.4536,441540.453231
300,hybrid,128,10,0.005,6000,lenet5.py,0.9107,266825.784112
301,hybrid,128,10,0.005,6000,bi-rnn.py,0.2882,433400.071601
302,hybrid,128,10,0.005,12000,lenet5.py,0.9145,266918.442324
303,hybrid,128,10,0.005,12000,bi-rnn.py,0.3043,428100.565134
304,hybrid,128,20,0.01,6000,lenet5.py,0.9648,500750.00487
305,hybrid,128,20,0.01,6000,bi-rnn.py,0.6948,836809.357586
306,hybrid,128,20,0.01,12000,lenet5.py,0.9599,502545.23013
307,hybrid,128,20,0.01,12000,bi-rnn.py,0.6816,845585.455924
308,hybrid,128,20,0.005,6000,lenet5.py,0.9322,509770.014966
309,hybrid,128,20,0.005,6000,bi-rnn.py,0.433,843991.637398
310,hybrid,128,20,0.005,12000,lenet5.py,0.9317,499839.568404
311,hybrid,128,20,0.005,12000,bi-rnn.py,0.4212,849252.147982
312,hybrid,256,5,0.01,6000,lenet5.py,0.8768,88305.328755
313,hybrid,256,5,0.01,6000,bi-rnn.py,0.1893,156309.274459
314,hybrid,256,5,0.01,12000,lenet5.py,0.8953,89045.44794
315,hybrid,256,5,0.01,12000,bi-rnn.py,0.1871,157647.855227
316,hybrid,256,5,0.005,6000,lenet5.py,0.8044,87293.628462
317,hybrid,256,5,0.005,6000,bi-rnn.py,0.1525,157534.326381
318,hybrid,256,5,0.005,12000,lenet5.py,0.8173,88178.675871
319,hybrid,256,5,0.005,12000,bi-rnn.py,0.1458,154657.878467
320,hybrid,256,10,0.01,6000,lenet5.py,0.9266,156625.565643
321,hybrid,256,10,0.01,6000,bi-rnn.py,0.3249,305872.951272
322,hybrid,256,10,0.01,12000,lenet5.py,0.9265,163264.354627
323,hybrid,256,10,0.01,12000,bi-rnn.py,0.3304,313463.317743
324,hybrid,256,10,0.005,6000,lenet5.py,0.8841,162826.146623
325,hybrid,256,10,0.005,6000,bi-rnn.py,0.1813,310216.437903
326,hybrid,256,10,0.005,12000,lenet5.py,0.8724,161852.775837
327,hybrid,256,10,0.005,12000,bi-rnn.py,0.1789,297900.379895
328,hybrid,256,20,0.01,6000,lenet5.py,0.9515,295356.959475
329,hybrid,256,20,0.01,6000,bi-rnn.py,0.5114,592828.095641
330,hybrid,256,20,0.01,12000,lenet5.py,0.9417,293817.118739
331,hybrid,256,20,0.01,12000,bi-rnn.py,0.5094,595160.448996
332,hybrid,256,20,0.005,6000,lenet5.py,0.9128,292182.555336
333,hybrid,256,20,0.005,6000,bi-rnn.py,0.2943,574598.906242
334,hybrid,256,20,0.005,12000,lenet5.py,0.914,295118.287905
335,hybrid,256,20,0.005,12000,bi-rnn.py,0.3002,584484.506353
336,hybrid,128,5,0.01,6000,lenet5.py,0.9319,144381.302671
337,hybrid,128,5,0.01,6000,bi-rnn.py,0.3126,229041.301828
338,hybrid,128,5,0.01,12000,lenet5.py,0.9176,144439.817813
339,hybrid,128,5,0.01,12000,bi-rnn.py,0.3735,232572.01659
340,hybrid,128,5,0.005,6000,lenet5.py,0.8846,145603.690983
341,hybrid,128,5,0.005,6000,bi-rnn.py,0.1674,229511.336586
342,hybrid,128,5,0.005,12000,lenet5.py,0.8816,143577.002305
343,hybrid,128,5,0.005,12000,bi-rnn.py,0.1912,227721.537454
344,hybrid,128,10,0.01,6000,lenet5.py,0.9348,258938.765991
345,hybrid,128,10,0.01,6000,bi-rnn.py,0.4705,440068.967351
346,hybrid,128,10,0.01,12000,lenet5.py,0.9519,257980.553271
347,hybrid,128,10,0.01,12000,bi-rnn.py,0.4978,427553.472255
348,hybrid,128,10,0.005,6000,lenet5.py,0.9265,259941.831579
349,hybrid,128,10,0.005,6000,bi-rnn.py,0.3245,424888.106035
350,hybrid,128,10,0.005,12000,lenet5.py,0.9174,255452.189552
351,hybrid,128,10,0.005,12000,bi-rnn.py,0.2468,439300.3568
352,hybrid,128,20,0.01,6000,lenet5.py,0.9617,517967.23488
353,hybrid,128,20,0.01,6000,bi-rnn.py,0.7056,848139.051383
354,hybrid,128,20,0.01,12000,lenet5.py,0.9602,492997.1963
355,hybrid,128,20,0.01,12000,bi-rnn.py,0.6633,885489.120975
356,hybrid,128,20,0.005,6000,lenet5.py,0.929,484229.55747
357,hybrid,128,20,0.005,6000,bi-rnn.py,0.432,884509.951053
358,hybrid,128,20,0.005,12000,lenet5.py,0.9381,491483.171715
359,hybrid,128,20,0.005,12000,bi-rnn.py,0.4336,943743.079906
360,hybrid,256,5,0.01,6000,lenet5.py,0.8836,82691.331903
361,hybrid,256,5,0.01,6000,bi-rnn.py,0.185,150057.375552
362,hybrid,256,5,0.01,12000,lenet5.py,0.8899,83150.166013
363,hybrid,256,5,0.01,12000,bi-rnn.py,0.1958,151622.930755
364,hybrid,256,5,0.005,6000,lenet5.py,0.8186,82319.109531
365,hybrid,256,5,0.005,6000,bi-rnn.py,0.1375,152768.68228
366,hybrid,256,5,0.005,12000,lenet5.py,0.8155,82179.290453
367,hybrid,256,5,0.005,12000,bi-rnn.py,0.1599,152748.904909
368,hybrid,256,10,0.01,6000,lenet5.py,0.9217,152456.630868
369,hybrid,256,10,0.01,6000,bi-rnn.py,0.3409,283052.266193
370,hybrid,256,10,0.01,12000,lenet5.py,0.9237,150515.438115
371,hybrid,256,10,0.01,12000,bi-rnn.py,0.3392,289038.523363
372,hybrid,256,10,0.005,6000,lenet5.py,0.884,149152.55579
373,hybrid,256,10,0.005,6000,bi-rnn.py,0.1801,289621.619675
374,hybrid,256,10,0.005,12000,lenet5.py,0.8938,150992.449048
375,hybrid,256,10,0.005,12000,bi-rnn.py,0.1924,303949.205908
376,hybrid,256,20,0.01,6000,lenet5.py,0.9446,313319.584209
377,hybrid,256,20,0.01,6000,bi-rnn.py,0.488,645913.722034
378,hybrid,256,20,0.01,12000,lenet5.py,0.9489,308902.553669
379,hybrid,256,20,0.01,12000,bi-rnn.py,0.4809,652984.278265
380,hybrid,256,20,0.005,6000,lenet5.py,0.9179,311193.734488
381,hybrid,256,20,0.005,6000,bi-rnn.py,0.2593,641691.619553
382,hybrid,256,20,0.005,12000,lenet5.py,0.9226,311504.259461
383,hybrid,256,20,0.005,12000,bi-rnn.py,0.2668,630730.716829
384,hybrid,128,5,0.01,6000,lenet5.py,0.9123,147538.551324
385,hybrid,128,5,0.01,6000,bi-rnn.py,0.3589,230443.999186
386,hybrid,128,5,0.01,12000,lenet5.py,0.9296,139852.217945
